Date,Universe Return,Risk free rate,Rm-Rf,SMB,HML,WML
04/2006,0.95,0.37,0.59,-1.32,2.65,0.35
05/2006,-2.72,0.37,-3.09,-2.36,2.09,-3.3
06/2006,0.04,0.39,-0.35,-0.59,1.44,-0.24
07/2006,-0.29,0.39,-0.68,-3.09,2.47,-0.23
08/2006,2.74,0.4,2.34,1.04,-1.65,-3.23
09/2006,2.3,0.41,1.9,-1.36,0.43,1.06
10/2006,3.65,0.39,3.26,2.04,-0.19,0.24
11/2006,2.33,0.4,1.93,0.12,0.28,0.29
12/2006,1.12,0.4,0.72,0.1,2.14,1.11
01/2007,2,0.39,1.61,-0.29,-0.82,0.38
02/2007,-1.37,0.41,-1.78,1.47,0.39,-1.85
03/2007,1.03,0.41,0.62,-0.09,-0.2,1.99
04/2007,4.1,0.4,3.7,-2.22,-1.29,0.31
05/2007,3.42,0.4,3.03,-0.55,0.27,-0.14
06/2007,-1.59,0.39,-1.98,2.3,-1.27,0.86
07/2007,-3.41,0.38,-3.79,-1.33,-2.31,2
08/2007,1.46,0.39,1.07,-1.05,-1.42,-1.05
09/2007,3.34,0.34,2.99,-0.69,-2.49,5.8
10/2007,1.84,0.33,1.52,0.13,-2.43,5.41
11/2007,-4.45,0.32,-4.77,-3.78,0.28,2.38
12/2007,-1.27,0.28,-1.54,1.6,-1.38,6.23
01/2008,-4.75,0.26,-5.01,-2.2,4.2,-8.98
02/2008,-3.4,0.23,-3.63,0.67,-0.59,5.25
03/2008,-0.75,0.18,-0.93,-0.33,0.17,2.69
04/2008,4.75,0.12,4.63,-2.41,-0.58,-2.28
05/2008,1.41,0.11,1.3,2.66,-2.59,2.06
06/2008,-9.82,0.15,-9.97,1.52,-3.2,10.17
07/2008,0.06,0.16,-0.09,1.55,5.01,-2.55
08/2008,1.87,0.14,1.74,0.76,1.2,-2.83
09/2008,-9.79,0.15,-9.94,-1.36,7.04,3.18
10/2008,-18.34,0.12,-18.45,-3.16,0.65,8.01
11/2008,-9.49,0.06,-9.55,-2.57,-5.42,6.5
12/2008,3.03,0.02,3,1.43,1.6,-6.57
01/2009,-8.1,0,-8.1,7.07,-11.75,1.02
02/2009,-11.82,0.01,-11.83,2.73,-7.8,5.21
03/2009,12.38,0.03,12.36,-2.93,6.5,-11.99
04/2009,16.39,0.02,16.37,3.86,9.81,-34.43
05/2009,7.47,0.01,7.46,2.51,-0.35,-11.36
06/2009,-0.12,0.02,-0.14,5.72,-3.82,3.42
07/2009,7.88,0.01,7.86,1.33,5.32,-5.64
08/2009,3.57,0.02,3.55,-2.91,10.47,-10.28
09/2009,4.29,0.01,4.27,2.87,1.43,-3.35
10/2009,-2.12,0.01,-2.13,-3.03,-3.06,0.67
11/2009,5.67,0.01,5.66,-3.35,-0.16,2.08
12/2009,2.71,0,2.7,4.93,0.58,2.18
01/2010,-2.87,0.01,-2.88,0.74,2.73,-3.32
02/2010,3.04,0,3.03,0.35,1.8,4.22
03/2010,5.99,0.01,5.98,1.27,3.57,2.07
04/2010,1.99,0.01,1.98,5.42,4.46,1.95
05/2010,-8.01,0.01,-8.02,-0.31,-1.31,0.81
06/2010,-4.96,0.01,-4.98,-1.44,-3.44,-2.67
07/2010,7.18,0.01,7.17,-0.7,-0.22,0.8
08/2010,-4.55,0.01,-4.56,-3.26,-0.47,0.68
09/2010,9.72,0.01,9.7,2.75,-3.29,1.15
10/2010,3.94,0.01,3.93,2.22,-2.25,0.11
11/2010,0.33,0.01,0.32,3.03,-0.77,4.78
12/2010,6.82,0.01,6.81,1.24,2.67,-3.78
01/2011,2.21,0.01,2.2,-3.44,2.22,-0.65
02/2011,3.4,0.01,3.38,0.78,1.55,1.1
03/2011,0.32,0.01,0.31,1.8,-1.56,2.66
04/2011,2.94,0.01,2.93,-1.23,-1.36,-0.04
05/2011,-1.19,0,-1.2,-0.79,-1.4,-1.25
06/2011,-1.91,0,-1.91,-1.1,0.38,1.65
07/2011,-2.13,0,-2.13,0.12,-1.47,0.1
08/2011,-6.1,0,-6.1,-3.38,-2.03,-1.65
09/2011,-8.42,0,-8.42,-2.07,-2.34,-0.2
10/2011,12.77,0,12.77,-0.4,0.86,-2.58
11/2011,-0.67,0,-0.67,-0.38,-1.47,5.88
12/2011,0.46,0,0.45,0.12,1.7,2.9
01/2012,6.12,0,6.11,3.25,0.24,-9.83
02/2012,4.19,0,4.19,-1.84,1.58,-2.07
03/2012,2.72,0.01,2.72,-0.15,2.48,3.02
04/2012,-0.98,0.01,-0.99,0,-0.55,4.7
05/2012,-6.82,0.01,-6.83,0,-0.58,6.25
06/2012,3.98,0.01,3.97,0.36,0.82,0.51
07/2012,0.95,0.01,0.94,-2.39,-1.39,2.75
08/2012,2.58,0.01,2.57,-0.95,2.6,-0.92
09/2012,2.65,0.01,2.65,1.36,1.42,-1.05
10/2012,-1.57,0.01,-1.58,-2.68,3.66,1.96
11/2012,0.6,0.01,0.59,-0.37,0.03,0.47
12/2012,1.41,0.01,1.41,0.21,4.36,-2.74
01/2013,5.89,#N/A,#N/A,-0.11,1.82,-2.43
02/2013,1.17,0.01,1.17,-0.81,-0.05,2.31
03/2013,3.74,0.01,3.73,0.39,-1.06,2.61
,,,,,,
Annual Factors: January-December,,,,,,
Date,Risk free,Rm-Rf,SMB,HML,WML,
,rate,,,,,
1989,8.15,19.93,-7.38,-9.41,26.84,
1990,7.58,-11.22,-6.84,-10.66,16.24,
1991,5.63,33.61,15.31,-13.13,13.83,
1992,3.53,7.11,17.19,13.83,4.2,
1993,3.03,4.7,12.04,18.59,20.81,
1994,4.05,-3.16,4.12,-2.12,-0.01,
1995,5.55,31.78,-1.42,2.64,16.68,
1996,5.05,16.98,-0.21,9.52,8.68,
1997,5.05,27.66,-3.32,22.79,14.31,
1998,4.88,17.89,-18.94,-12.69,18.27,
1999,4.59,14.44,24.12,-32.72,26.56,
2000,5.8,-16.29,-3.55,40.52,12.05,
2001,3.79,-7.62,50,8.85,5.07,
2002,1.71,-27.23,14.8,25.61,29.58,
2003,1.04,35.81,54.9,-2.63,-17.81,
2004,1.27,11.86,6.63,12.8,2.89,
2005,3.03,3,-2.08,8.02,12.4,
2006,4.65,11.78,3.57,10.96,-1.19,
2007,4.53,0.25,-4.74,-12.78,22.64,
2008,1.7,-40.45,-2.59,4.15,11.17,
2009,0.16,40.67,30.59,0.53,-85.5,
2010,0.13,18.12,12.65,3.52,7.96,
2011,0.07,0.11,-9.85,-5.57,7.18,
